Player,Nation,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position_2,Position,League
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Lorenz Assignon,TOG,Burnley,23,2000,13.7,35,17,18,13,4,14,27,51.9,13,22,7,15,19,54,43,1,,Defender,Premier League
Lorenz Assignon,TOG,Rennes,23,2000,11.2,24,12,12,8,4,9,24,37.5,15,9,4,5,9,33,27,1,,Defender,Ligue 1
Youcef Atal,ALG,Nice,27,1996,4.0,9,3,6,2,1,6,8,75.0,2,7,1,6,4,13,1,0,,Defender,Ligue 1
Valentin Atangana Edoa,FRA,Reims,17,2005,6.2,19,13,6,9,4,5,13,38.5,8,5,1,4,6,25,9,0,,Midfielder,Ligue 1
Arthur Atta,FRA,Metz,20,2003,10.3,18,14,8,7,3,8,19,42.1,11,13,3,10,10,28,23,0,Forward,Midfielder,Ligue 1
Noah Atubolu,GER,Freiburg,21,2002,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,1,,Goalkeeper,Bundesliga
Pierre-Emerick Aubameyang,GAB,Marseille,34,1989,29.1,22,14,4,11,7,7,26,26.9,19,30,5,25,9,31,26,0,,Forward,Ligue 1
Emil Audero,ITA,Inter,26,1997,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Goalkeeper,Serie A
Tommaso Augello,ITA,Cagliari,28,1994,26.9,26,19,18,6,2,16,25,64.0,9,21,10,11,17,43,89,0,,Defender,Serie A
Carlos Augusto,BRA,Inter,24,1999,19.2,29,21,20,9,0,15,22,68.2,7,20,8,12,16,45,52,0,,Defender,Serie A
Yann Aurel Bisseck,GER,Inter,22,2000,10.0,14,6,10,3,1,6,9,66.7,3,10,7,3,5,19,23,0,,Defender,Serie A
Serge Aurier,CIV,Nott'ham Forest,30,1992,9.3,20,14,9,11,0,5,11,45.5,6,10,3,7,9,29,36,1,Midfielder,Defender,Premier League
Ezequiel Ávila,ARG,Osasuna,29,1994,9.6,3,2,1,1,1,3,11,27.3,8,14,0,14,4,7,8,0,Midfielder,Forward,La Liga
Ezequiel Ávila,ARG,Betis,29,1994,3.3,2,1,0,2,0,1,3,33.3,2,2,0,2,1,3,4,0,,Forward,La Liga
Taiwo Awoniyi,NGA,Nott'ham Forest,25,1997,11.6,9,7,1,4,4,1,2,50.0,1,7,2,5,1,10,9,0,,Forward,Premier League
André Ayew,GHA,Le Havre,33,1989,12.3,15,11,7,6,2,6,9,66.7,3,8,3,5,2,17,11,0,,Forward,Ligue 1
Jordan Ayew,GHA,Crystal Palace,31,1991,28.3,65,36,23,28,14,21,42,50.0,21,43,2,41,16,81,15,0,Midfielder,Forward,Premier League
