Player,Nation,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Position_2,Position,League
Bénie Adama Traore,CIV,Sheffield Utd,20,2002,4.3,55,71,77.5,775,185,34,38,89.5,19,23,82.6,1,1,100.0,0,0.5,0.5,-0.5,4,2,7,1,9,Midfielder,Forward,Premier League
Bénie Adama Traore,CIV,Nantes,20,2002,5.6,99,148,66.9,1513,448,58,73,79.5,30,42,71.4,6,17,35.3,1,0.9,1.3,+0.1,8,9,4,2,15,Midfielder,Forward,Ligue 1
Akor Adams,NGA,Montpellier,23,2000,25.0,250,385,64.9,3676,786,125,185,67.6,89,126,70.6,14,29,48.3,1,1.9,1.4,-0.9,17,14,4,2,17,,Forward,Ligue 1
Tyler Adams,USA,Bournemouth,24,1999,1.3,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,,Midfielder,Premier League
Junior Adamu,AUT,Freiburg,22,2001,1.2,18,30,60.0,181,36,15,17,88.2,1,9,11.1,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1,Midfielder,Forward,Bundesliga
Sargis Adamyan,ARM,Köln,30,1993,8.9,132,189,69.8,1883,483,73,94,77.7,44,64,68.8,5,9,55.6,2,2.0,1.1,0.0,12,16,3,0,18,Midfielder,Forward,Bundesliga
Tosin Adarabioyo,ENG,Fulham,25,1997,18.0,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,,Defender,Premier League
Elijah Adebayo,ENG,Luton Town,25,1998,15.8,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,,Forward,Premier League
Karim Adeyemi,GER,Dortmund,21,2002,10.1,218,299,72.9,2929,719,135,162,83.3,61,83,73.5,8,18,44.4,1,2.0,1.6,-1.0,9,9,10,1,26,Midfielder,Forward,Bundesliga
Simon Adingra,CIV,Brighton,21,2002,24.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,,Forward,Premier League
