Player,Nation,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Position_2,Position,League
Kelvin Amian,FRA,Nantes,25,1998,8.9,0,1,0,0.0,0.11,0.00,0.00,0,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,,Defender,Ligue 1
Bruno Amione,ARG,Hellas Verona,21,2002,6.4,0,5,3,60.0,0.78,0.47,0.00,0.00,9.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,,Defender,Serie A
Michael Amir Murillo,PAN,Marseille,27,1996,11.1,3,6,4,66.7,0.54,0.36,0.50,0.75,16.8,0,0,0,0.8,0.8,0.14,+2.2,+2.2,,Defender,Ligue 1
Nadiem Amiri,GER,Mainz 05,26,1996,14.6,1,35,8,22.9,2.40,0.55,0.03,0.13,26.8,11,0,1,2.2,1.4,0.04,-1.2,-0.4,,Midfielder,Bundesliga
Nadiem Amiri,GER,Leverkusen,26,1996,1.0,0,3,2,66.7,3.14,2.09,0.00,0.00,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,,Midfielder,Bundesliga
Kofi Amoako,GER,Wolfsburg,18,2005,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Bundesliga
Sofyan Amrabat,MAR,Manchester Utd,26,1996,10.4,0,3,0,0.0,0.29,0.00,0.00,0,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Defender,Midfielder,Premier League
Joachim Andersen,DEN,Crystal Palace,27,1996,37.9,2,21,8,38.1,0.55,0.21,0.10,0.25,12.8,1,0,0,1.7,1.7,0.08,+0.3,+0.3,,Defender,Premier League
Elliot Anderson,SCO,Newcastle Utd,20,2002,11.4,0,19,4,21.1,1.67,0.35,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Forward,Midfielder,Premier League
Felipe Anderson,BRA,Lazio,30,1993,30.8,5,43,11,25.6,1.40,0.36,0.12,0.45,17.3,1,0,0,4.4,4.4,0.10,+0.6,+0.6,Midfielder,Forward,Serie A
Benjamin André,FRA,Lille,32,1990,28.6,4,23,9,39.1,0.81,0.32,0.17,0.44,17.0,0,0,0,2.6,2.6,0.11,+1.4,+1.4,,Midfielder,Ligue 1
Komnen Andrić,SRB,Clermont Foot,28,1995,1.9,0,2,0,0.0,1.07,0.00,0.00,0,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Forward,Ligue 1
Robert Andrich,GER,Leverkusen,28,1994,18.8,4,23,9,39.1,1.22,0.48,0.17,0.44,20.0,2,0,0,1.7,1.7,0.07,+2.3,+2.3,Defender,Midfielder,Bundesliga
Miguel Ángel Rubio,ESP,Granada,25,1998,17.3,1,9,2,22.2,0.52,0.12,0.11,0.50,10.4,0,0,0,0.8,0.8,0.09,+0.2,+0.2,,Defender,La Liga
Angeliño,ESP,Roma,26,1997,12.7,0,8,2,25.0,0.63,0.16,0.00,0.00,24.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,,Defender,Serie A
Fabrizio Angileri,ARG,Getafe,29,1994,1.8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Midfielder,Defender,La Liga
Jaidon Anthony,ENG,Bournemouth,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.00,0.00,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Forward,Premier League
Waldemar Anton,GER,Stuttgart,27,1996,32.1,0,28,6,21.4,0.87,0.19,0.00,0.00,15.9,0,0,0,1.7,1.7,0.06,-1.7,-1.7,,Defender,Bundesliga
Michail Antonio,JAM,West Ham,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.20,0.43,13.1,0,0,0,5.8,5.8,0.19,+0.2,+0.2,,Forward,Premier League
Antony,BRA,Manchester Utd,23,2000,14.7,1,43,15,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,3.4,3.4,0.08,-2.4,-2.4,,Forward,Premier League
